           word  frequency
840     ಪ್ರಸಾರ      11277 no
1312      ಶಾಂತ       1772 no
558        ದಹನ       1457 no
1524    ಸುತ್ತು       3663 no
1498    ಸಾರಿಗೆ      20873 no
171       ಉದ್ದ       5315 no
386       ಗರುಡ       1019 no
90        ಅವಧಿ      12528 no
210       ಕಂಕಣ       1069 no
67     ಅಭಿಮಾನಿ       8452 no
1353     ಶ್ವೇತ       1295 no
1295  ವ್ಯಾಪಾರಿ       4000 no
137       ಆರಾಮ       1016 no
557     ದಳವಾಯಿ       1027 no
27         ಅಣು       3134 no
          word  frequency
1637     ಹೆಸರು      85277 no
204    ಒಗ್ಗರಣೆ       1488 no
1451  ಸಮ್ಮಿಶ್ರ      10929 no
77      ಅರ್ಜುನ       2393 no
1604     ಹಲ್ಲು       3461 no
1318      ಶಾಸಕ      55032 no
91         ಅವನ      50389 no
1521     ಸುಗಂಧ       1104 no
1035      ಮಾರಕ       2583 no
759     ಪುಟ್ಟಿ       1033 no
420       ಗೋಳು       1730 no
599         ಧನ       5528 no
1286   ವ್ಯಕ್ತಿ      40559 no
432       ಘಟ್ಟ       1973 no
43      ಅನಾಹುತ       2679 no
904       ಬಾರಿ      97906 no
864       ಬಂಡೆ       1271 no
825   ಪ್ರಯುಕ್ತ       8214 no
1202      ವಸತಿ      17068 no
977       ಭೀತಿ       4032 no
          word  frequency
1504   ಸಾಹಿತ್ಯ     133338
117      ಆದರ್ಶ       5945 no
176     ಉದ್ಯೋಗ      31171 no
913       ಬಿಗಿ       3971 no
1343     ಶೋಷಣೆ       2156 no
159       ಉಗ್ರ       5807 no
1375    ಸಂಚಾರಿ       5745 no
1427     ಸನ್ನೆ       1156 no
875        ಬದಿ       2804 yes
542        ದಂಡ      11963 yes
238       ಕನಸು      27786 no
550         ದನ       1871 no
928   ಬುಡಕಟ್ಟು       4089 no
1432     ಸಮಗ್ರ      14735 no
561        ದಾನ       7697 no
1320   ಶಾಸ್ತ್ರ       6725 no
534      ತೆರವು       2980 no
332   ಕೈಗಾರಿಕೆ       3005 no
377        ಗಣಕ       2216 yes
215       ಕಂತು       2996 no
         word  frequency
1436  ಸಮರ್ಥನೆ       1389 no
1531    ಸುರಂಗ       1620 no
1330      ಶಿವ       8113 no
761       ಪುರ       1379 no
623     ನವೋದಯ       1562 no
1475    ಸಹಸ್ರ       1107 no
1406  ಸಂಯುಕ್ತ      11516 no
794     ಪ್ರಜೆ       1369 no
1273     ವೃಷಭ       1844 no
1278      ವೇಷ       2566 no
704      ಪಟ್ಟ       6872 no
1107     ಯಜ್ಞ       1085 no
307    ಕುತೂಹಲ      18772 no
724    ಪರಮಾಣು       3531 no
512   ತಾರ್ಕಿಕ       1311 no
413      ಗೈರು       2017 no
566    ದಿಗ್ಗಜ       2456 no
323     ಕೃಷ್ಣ      31572 no
1019   ಮಹತ್ತರ       2496 no
1549    ಸೈನಿಕ       3397 no
           word  frequency 
211        ಕಂಚು       1593 no
1588        ಹಂತ      10711 no
106      ಆಕ್ಷೇಪ       3934 no
1008        ಮನೆ     109556 no
604       ಧೈರ್ಯ       7262 no
1569      ಸ್ಥೂಲ       1159 no
1297    ವ್ಯಾಯಾಮ       5131 no
474        ಜಾರಿ      17139 no
800   ಪ್ರತಿಜ್ಞೆ       1059 no
327      ಕೇಂದ್ರ     129493 no
1646        ಹೊಲ       1621 no
1309        ಶರಣ       2036 no
107       ಆಗ್ರಹ       9946 no
272      ಕಾಣಿಕೆ       2982 no
933         ಬುಧ       1065 no 
1403      ಸಂಭೋಗ      12384 no
624        ನಷ್ಟ      10783 no
536     ತೇಜಸ್ವಿ       3685 no
647      ನಿದ್ರೆ       5484 no
1419       ಸಡಗರ       2102 no
         word  frequency
820     ಪ್ರಭು       5847 no
1533     ಸುಲಭ      20422 no
369      ಗಂಟು       1458 no
633      ನಾಡಿ       1680 no
1147    ರಾಜ್ಯ     140951 no
345      ಕೋಟಿ     122523 no
716      ಪದವಿ      24823 no
1285  ವ್ಯಂಗ್ಯ       4500 no
357      ಕ್ಷಣ      12642 no
783   ಪ್ರಕಟಣೆ      11142 no
414     ಗೊಂಬೆ       1928 no
776    ಪೆಟ್ಟು       2717 no
47    ಅನುಗ್ರಹ       1300 no
708        ಪಣ       2316 no
1576    ಸ್ವಂತ      18094 no
698        ನೌ       1064 no
936     ಬೆಟ್ಟ       5066 no
773     ಪೂರ್ಣ      23354 no
712      ಪತ್ರ      40846 no
518      ತಿಳಿ       2458 yes
          word  frequency
1470      ಸಸ್ಯ       4165 no
930      ಬುದ್ಧ       3296 no
473     ಜಾಮೀನು      10680 no
1374     ಸಂಚಾರ      20094 no
177      ಉಪಕರಣ       2398 no
1014       ಮರಿ       4320 yes
568      ದಿನಕರ       1668 no
601       ಧರ್ಮ      29902 no
548       ದತ್ತ       2351 no
502       ತರುಣ       1227 no
1138        ರಸ       7100 no
838    ಪ್ರಸನ್ನ       3980 no
241         ಕರ       1576 no
1506      ಸಿಂಹ      12747 no
602   ಧಾರಾವಾಹಿ       4449 no
679       ನೀತಿ      26831 no
554      ದರ್ಜೆ       5764 no
1021     ಮಹಿಮೆ       3942 no
63    ಅಭಿನಂದನೆ       6533 no
201         ಏತ       2080 no
           word  frequency
122        ಆಧಾರ       4535 no
1600       ಹರಕೆ       2333 no
790   ಪ್ರಕ್ರಿಯೆ      16545 no
1157       ರೂಢಿ       1178 no
1292  ವ್ಯಾಖ್ಯಾನ       2093 no
766       ಪುರುಷ       7988 no
661    ನಿರ್ದೇಶನ      14316 no
160        ಉಚಿತ      65439 no
1112        ಯುವ      32328 no
701        ಪಕ್ಕ       3342 yes
1135        ರವಿ      21762 no
231      ಕಡ್ಡಾಯ       8543 no
1652        ಹೋಮ       2191 no
113         ಆಣೆ       1102 no
285      ಕಾಲಮಾನ       1167 no
492       ತಟ್ಟೆ       2436 no
1060     ಮುಗಿಲು       1260 no
926        ಬೀಡು       1334 no
654        ನಿಯಮ      16406 no
74        ಅರಿವು      15095 no
            word  frequency
950       ಬ್ರಹ್ಮ       3541 no
284          ಕಾಲ      80990 no
1371      ಸಂಘಟನೆ      10292 no
162         ಉಡುಪ       1400 no
16         ಅಗ್ನಿ       6919 no
1164       ಲಗ್ಗೆ       3098 no
1133         ರಮಣ       1065 no
880           ಬರ      11453 no
1607      ಹವ್ಯಾಸ       3214 no
1613       ಹಿಂಡಿ       1103 no
1071   ಮುನ್ಸೂಚನೆ      15788 no
694          ನೈಜ       6625 no
355       ಕ್ರೀಡೆ       7360 no
20    ಅಚ್ಚುಕಟ್ಟು       1076 no
973         ಭಾಷಣ      12245 no
696          ನೋಟ      13406 no
1049      ಮಿಶ್ರಣ       5453 no
774       ಪೂರ್ತಿ       9213 no
1387       ಸಂದಾಯ       1012 no
1101        ಮೋಹನ       2117 no
            word  frequency
178       ಉಪಗ್ರಹ       4230 no
865         ಬಂಧನ      22103 no
1037        ಮಾರು       1336 no
274         ಕಾಪು       2081 no
1416        ಸಗಟು       2716 no
383          ಗಮನ      32165 no
1367      ಸಂಗಾತಿ       6084 no
855        ಪ್ರೇಮ      15214 no
619          ನಡೆ       7104 no
920       ಬಿರುದು       2358 no
1298  ವ್ಯಾವಹಾರಿಕ       1068 no
622           ನರ       1019 yes
196          ಎಡೆ       1119 yes
1602         ಹರಿ       2362 yes
149       ಆಸಕ್ತಿ      19639 no
322        ಕೃಷಿಕ       1862 no
817       ಪ್ರಬಂಧ       4534 no
806   ಪ್ರತಿಷ್ಠಾನ       2144 no
165      ಉತ್ಪನ್ನ      13363 no
295      ಕಿರುಕುಳ      14513 yes
        word  frequency
1563   ಸ್ಥಾನ      49802 yes
921   ಬಿಲ್ಲು       1114 yes
1136     ರವೆ       1022 no
697     ನೋವು      20722 no
469   ಜಾಗೃತಿ      16317 no
1471   ಸಹಕಾರ      20977 no
939     ಬೆಲೆ     112504 no
380     ಗಣಿತ       4616 no
1225  ವಿಗ್ರಹ       2307 no
663   ನಿರ್ಮಲ       1371 no
967      ಭಾರ       3111 no
960      ಭವನ       5961 no
1110     ಯಾನ       1436 no
328     ಕೇಳಿ      37408 no
675    ನಿಷೇಧ      13043 no
749    ಪಾನೀಯ       1541 no
242     ಕರಡು       2932 no
521    ತೀವ್ರ      27311 no
726      ಪರಿ       4964 no
1282    ವೈಭವ       4303 no
            word  frequency
842   ಪ್ರಸ್ತಾವನೆ       3215
688          ನೆಲ       4386 no
1547       ಸೇವನೆ      11990 no
616         ನಗ್ನ       2803 no
1439      ಸಮಾಚಾರ      54098 no
226         ಕಡಿತ       8623 no
856        ಪ್ರೌಢ       6174 no
409         ಗುರು      23161 yes
140          ಆಲಿ       1053 no
1180       ವಂಚನೆ      13279 no
1364        ಸಂಗಡ       3305
1127         ರಜತ       1316
1015        ಮರುಳ       1108
1616        ಹಿಡಿ       1333
851     ಪ್ರಾಬಲ್ಯ       1736
738      ಪರೀಕ್ಷೆ      32356
256        ಕಲ್ಲು      12382
1182      ವಕ್ತಾರ       2887
1167        ಲಲಿತ       2112
1232       ವಿತ್ತ       2201 no
           word  frequency
485         ತಂಡ      45771 no
652       ನಿಮಿಷ      14500 no
99       ಅಸ್ತ್ರ       1874 no
952         ಭಂಗ       1112 no
347        ಕೋಣೆ       2509 no
200       ಏಕಾಂತ       1248 no
532      ತುರಿಕೆ       1351 no
522     ತೀವ್ರತೆ       1418 no
395     ಗಾಯತ್ರಿ       2170 no
658     ನಿರೂಪಣೆ       3931 no
1054      ಮುಂದು       1692 no
912   ಬಿಕ್ಕಟ್ಟು       4328 no
180     ಉಪನ್ಯಾಸ       6207 no
163       ಉತ್ತರ     131801 yes
843    ಪ್ರಸ್ತುತ      26145 no
303      ಕುಕ್ಕೆ       1909 no
